question_id,question,question_type,question_source,expected_focus,system,is_stylised,retrieved_passages,generated_response,correctness_score,grounding_score,retrieval_relevance_score,usefulness_score,style_quality_score,comments
Q1,Why does Macbeth kill Duncan?,contextual_qa,instructor,"Macbeth's ambition, the witches' prophecy, Duncan as an obstacle, and Lady Macbeth's pressure. Useful evidence may come from Acts 1–2.",baseline,,N/A (no retrieval),"Macbeth kills Duncan because he believes that Duncan is responsible for his own downfall and cannot bring himself to face the consequences of his actions. Macbeth is consumed by a desire for power and control, and he sees Duncan as an obstacle to achieving his goals. When Duncan refuses to bow to Macbeth's ambition, Macbeth sees this as a threat to his own ambitions and decides to eliminate him to prevent any obstacles in his path.",,,,,,
Q1,Why does Macbeth kill Duncan?,contextual_qa,instructor,"Macbeth's ambition, the witches' prophecy, Duncan as an obstacle, and Lady Macbeth's pressure. Useful evidence may come from Acts 1–2.",rag,False,"[Rank 1, score=0.740] [Macbeth, Act 2, Scene 2 (The same)]
Summary: Macbeth murders Duncan, and the couple reacts to guilt and fear.
Summary: Macbeth murders Duncan, and the couple reacts to guilt and fear.
Keywords: Duncan, murder, blood
Location: The same
[Enter Lady Macbeth.]
LADY MACBETH. That which hath made them dr
---
[Rank 2, score=0.712] [Macbeth, Act 3, Scene 6]
Summary: Scottish nobles discuss Macbeth’s tyranny and hope for resistance.
Summary: Scottish nobles discuss Macbeth’s tyranny and hope for resistance.
Keywords: tyranny, resistance
FORRES. The palace.
[Enter Lennox and another Lord.]
LENNOX. My former speeches have but hit
---
[Rank 3, score=0.706] [Macbeth, Act 1, Scene 4]
Summary: Duncan names Malcolm heir, creating an obstacle to Macbeth’s ambition.
Summary: Duncan names Malcolm heir, creating an obstacle to Macbeth’s ambition.
Keywords: Malcolm, succession, ambition
FORRES. The palace.
FLOURISH. Enter Duncan, Malcolm, Donalbain, Lennox, an","Macbeth kills Duncan because he sees him as a threat to his ambition and succession to the throne. Macbeth believes that Duncan, who is the son of King Duncan and Queen Margaret, is a rival for his position as king of Scotland. Macbeth believes that Duncan is plotting against him and that he needs to take action to prevent him from succeeding. Macbeth also believes that Duncan has been using his position to maintain power and influence, which makes him an untrustworthy ally. Macbeth feels that Duncan's death would strengthen his own position and legitimize his own succession to the throne. Ultimately, Macbeth's decision to kill Duncan is a tragic one that leads to his downfall and the downfall of his reign as king of Scotland.",,,,,,
Q2,How does Macbeth change after becoming king?,contextual_qa,instructor,"He becomes increasingly fearful, violent, paranoid, and tyrannical; relevant evidence includes Banquo's murder, the banquet, and later acts.",baseline,,N/A (no retrieval),"Certainly! Here's a beginner-friendly answer:

Macbeth changes significantly after becoming king. At the beginning of the play, he's a brave and ambitious soldier who dreams of becoming the king of Scotland. However, he soon realizes that his ambition is not worth the cost of lives and the destruction of the country. Macbeth becomes increasingly cynical and begins to question the morality of his actions, leading to a descent into madness and eventual death. He becomes more and more isolated and alone, unable to reconcile his newfound power with the horrors he's committed. Ultimately, Macbeth is unable to keep up the facade of a loyal and dutiful king and is driven to a violent and brutal end.",,,,,,
Q2,How does Macbeth change after becoming king?,contextual_qa,instructor,"He becomes increasingly fearful, violent, paranoid, and tyrannical; relevant evidence includes Banquo's murder, the banquet, and later acts.",rag,False,"[Rank 1, score=0.623] [Macbeth, Act 3, Scene 6]
Summary: Scottish nobles discuss Macbeth’s tyranny and hope for resistance.
Summary: Scottish nobles discuss Macbeth’s tyranny and hope for resistance.
Keywords: tyranny, resistance
FORRES. The palace.
[Enter Lennox and another Lord.]
LENNOX. My former speeches have but hit
---
[Rank 2, score=0.606] [Macbeth, Act 3, Scene 1]
Summary: Macbeth fears Banquo and arranges to murder him and Fleance.
Summary: Macbeth fears Banquo and arranges to murder him and Fleance. 
 Keywords: Banquo, Fleance, paranoia 
 FORRES. The palace. 
 [Enter Banquo.] 
 BANQUO. Thou hast it now: King, Cawdor, Glamis, all, A
---
[Rank 3, score=0.605] [Macbeth, Act 1, Scene 4]
Summary: Duncan names Malcolm heir, creating an obstacle to Macbeth’s ambition.
Summary: Duncan names Malcolm heir, creating an obstacle to Macbeth’s ambition.
Keywords: Malcolm, succession, ambition
FORRES. The palace.
FLOURISH. Enter Duncan, Malcolm, Donalbain, Lennox, an","Macbeth changes drastically after becoming king. Initially, he is arrogant, paranoid, and obsessed with power, leading him to murder and commit crimes against others. However, after his fall from grace, he becomes more compassionate and redeems himself by acknowledging his mistakes and seeking forgiveness from those he has wronged. This transformation is evident in his interactions with Lady Macbeth and the other characters, as well as his decision to leave Scotland and seek exile. He also becomes more introspective and reflective, reflecting on his actions and considering the consequences of his actions. Ultimately, Macbeth's transformation leads to his downfall, as his ambition and desire for power ultimately lead him to commit the ultimate crime and suffer the consequences of his actions.",,,,,,
Q3,Why does Hamlet delay taking revenge?,contextual_qa,instructor,"Uncertainty, moral hesitation, need to test Claudius's guilt, and reflective temperament; use evidence from the ghost scene, the play-within-a-play, and prayer scene.",baseline,,N/A (no retrieval),"Hamlet, the protagonist of William Shakespeare's play ""Hamlet,"" delays taking revenge on his uncle, Claudius, for killing his father, King Hamlet. In the play, Hamlet's mother, Gertrude, married Claudius after her husband's death, and Hamlet's uncle, who is also his father's brother, was poisoned by Claudius. This act of murder had a devastating effect on Hamlet, who was deeply affected by his father's death and believed that his uncle's actions were a betrayal of his father's memory. Hamlet's anger and grief led him to consider taking revenge on Claudius, but he was hesitant to do so for several reasons. First, he feared the consequences of killing someone he had grown to love and trust, and second, he was still grappling with the emotional impact of his father's death and the betrayal of his uncle. Ultimately, Hamlet's hesitation and indecision led him to postpone taking revenge, ultimately allowing him to confront and ultimately come to terms with his feelings towards his uncle.",,,,,,
Q3,Why does Hamlet delay taking revenge?,contextual_qa,instructor,"Uncertainty, moral hesitation, need to test Claudius's guilt, and reflective temperament; use evidence from the ghost scene, the play-within-a-play, and prayer scene.",rag,False,"[Rank 1, score=0.592] [Hamlet, Act 3, Scene 1]
Summary: Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger.
Summary: Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger. 
 Keywords: to be or not to be, Ophelia 
 ELSINORE. A room in the Castle. 
 [Enter King, Queen, Poloniu
---
[Rank 2, score=0.583] [Hamlet, Act 1, Scene 4]
Summary: Hamlet waits for the ghost and follows it.
Summary: Hamlet waits for the ghost and follows it. 
 Keywords: ghost, Hamlet 
 ELSINORE. The platform before the Castle. 
 [Enter Hamlet, Horatio, and Marcellus.] 
 HAMLET. The air bites shrewdly; it is very cold. 
 HORATI
---
[Rank 3, score=0.577] [Hamlet, Act 2, Scene 2]
Summary: Rosencrantz and Guildenstern arrive; Hamlet plans to use players to test Claudius.
Summary: Rosencrantz and Guildenstern arrive; Hamlet plans to use players to test Claudius. 
 Keywords: players, Mousetrap 
 ELSINORE. A room in the Castle. 
 FLOURISH. [Enter King an","Hamlet delays taking revenge because he is hesitant to harm Claudius, who he believes is innocent. He has already spoken with Polonius, who confirms that Claudius is the true king and that he has been using Hamlet as a pawn to gain power. Hamlet has also been mulling over the idea of taking revenge for his father's death and the betrayal of his mother, but he is hesitant to act out of fear of hurting Claudius. He wants to give Claudius enough time to prove his innocence before taking any action, but he knows that this is not a straightforward situation and that there may be other motives behind Claudius' actions. Ultimately, Hamlet decides to let the situation play out and see what happens before taking any further action.",,,,,,
Q4,What is Ophelia's role in the tragedy?,contextual_qa,instructor,"Ophelia is caught between Hamlet, Polonius, Laertes, and court politics; her distress and death reveal the human cost of revenge and manipulation.",baseline,,N/A (no retrieval),"Ophelia's role in ""Hamlet"" is to be the protagonist's love interest and a victim of fate. She is portrayed as a naive and innocent woman who is ultimately destroyed by her own emotions and the consequences of her actions. She is a symbol of the idea that the world is a cruel and unforgiving place, and that love and human connection are fleeting. Her tragic death is a reminder that even the most beautiful and passionate love affairs can ultimately lead to tragic ends.",,,,,,
Q4,What is Ophelia's role in the tragedy?,contextual_qa,instructor,"Ophelia is caught between Hamlet, Polonius, Laertes, and court politics; her distress and death reveal the human cost of revenge and manipulation.",rag,False,"[Rank 1, score=0.619] [Hamlet, Act 2, Scene 1]
Summary: Polonius sends Reynaldo to spy and hears Hamlet behaved strangely toward Ophelia.
Good my lord!                                    [Going.] 
 POLONIUS. Observe his inclination in yourself. 
 REYNALDO. I shall, my lord. 
 POLONIUS. And let him ply his music. 
 REYNAL
---
[Rank 2, score=0.619] [Hamlet, Act 3, Scene 2]
Summary: The play-within-a-play unsettles Claudius.
Anon comes in a fellow, takes off his] 
 [crown, kisses it, pours poison in the sleeper's ears, and] 
 [leaves him. The Queen returns, finds the King dead, and makes] 
 [passionate action. The Poisoner with some three or fo
---
[Rank 3, score=0.574] [Hamlet, Act 4, Scene 5]
Summary: Ophelia’s madness and Laertes’s return deepen the crisis.
Summary: Ophelia’s madness and Laertes’s return deepen the crisis. 
 Keywords: Ophelia, Laertes 
 ELSINORE. A room in the Castle. 
 [Enter Horatio, Queen, and a Gentleman.] 
 GERTRUDE. I will not speak with h","Ophelia's role in the tragedy is to deepen the crisis by unraveling the secrets of her father's death, which causes the King and Queen to lose faith in him and leads to the tragic events that follow. Her madness and return to the scene of her father's death deepen the crisis by exposing the truth about her father's death and her father's relationship with her brother, Laertes. This leads to her eventual suicide, which further complicates the situation. Her role in the tragedy is to symbolize the chaos and instability that arise from unresolved grief and guilt.",,,,,,
Q5,Why is Juliet conflicted after Romeo kills Tybalt?,contextual_qa,instructor,Juliet loves Romeo but Tybalt is her kinsman; she must reconcile romantic loyalty with family loyalty.,baseline,,N/A (no retrieval),"Juliet is conflicted after Romeo kills Tybalt because she loves Romeo, but she also loves her family and friends. Romeo's violent act, which she had hoped would lead to a peaceful resolution, instead escalates their conflict and causes her to question her own feelings for him. This conflict is not only a result of Romeo's actions but also of the societal norms and expectations that dictate what is acceptable in a romantic relationship. Juliet's internal conflict is a reflection of the complex and often conflicting emotions that people feel when faced with a situation that challenges their values and beliefs.",,,,,,
Q5,Why is Juliet conflicted after Romeo kills Tybalt?,contextual_qa,instructor,Juliet loves Romeo but Tybalt is her kinsman; she must reconcile romantic loyalty with family loyalty.,rag,False,"[Rank 1, score=0.669] [Romeo and Juliet, Act 3, Scene 2 (Capulet's orchard)]
Summary: Juliet learns Romeo killed Tybalt and is torn between love and family loyalty.
Summary: Juliet learns Romeo killed Tybalt and is torn between love and family loyalty. 
 Keywords: Juliet, Tybalt, conflict 
 Location: Capulet's orchard 
 
---
[Rank 2, score=0.638] [Romeo and Juliet, Act 2, Scene 4 (A street)]
Summary: Romeo arranges marriage plans through the Nurse.
Summary: Romeo arranges marriage plans through the Nurse. 
 Keywords: Nurse, message 
 Location: A street 
 [Enter Benvolio and Mercutio.] 
 MERCUTIO. Where the devil should this Romeo be? Came he
---
[Rank 3, score=0.635] [Romeo and Juliet, Act 3, Scene 1 (A public place)]
Summary: Tybalt kills Mercutio; Romeo kills Tybalt and is banished.
Summary: Tybalt kills Mercutio; Romeo kills Tybalt and is banished. 
 Keywords: Tybalt, Mercutio, banishment 
 Location: A public place 
 [Enter Mercutio, Benvolio, and Men.] 
 BEN","Juliet is conflicted after Romeo kills Tybalt because she loves Romeo and is torn between her loyalty to her family and her feelings for him. Romeo's actions towards Tybalt, who is a family friend, cause Juliet to feel anger, disgust, and sadness. She is also conflicted because she is in love with Romeo and fears that he will suffer the same fate as Tybalt. Juliet's conflicted emotions are evident when she speaks to her family, who are deeply affected by the situation and are unable to understand her feelings. Additionally, Juliet's loyalty to her family and her desire to protect Romeo from Tybalt's wrath is a significant factor in her decision to stay with Romeo and prevent him from harming Tybalt. Ultimately, Juliet's conflicted emotions lead to her decision to leave Romeo and return to her family, where she feels safe and loved.",,,,,,
